seats,mm,pg,vs,eg,ce
4,-0.024526002655858525,0.03571780255335248,"(0.535091522237703, 0.40988183480466367, 0.6414414357801336, 0.5898630879932395, 0.43127074956023886, 0.3718342468342468, 0.47957056462907977, 0.4133583428478225, 0.46842050786640904, 0.5940560101801724, 0.4579398103648214, 0.44029635117614374, 0.4595155358123761)",-0.16375071490150986,782
4,-0.024730397001232196,0.036137536530452666,"(0.5937067189674001, 0.40988183480466367, 0.5854833655402936, 0.5898630879932395, 0.43127074956023886, 0.3718342468342468, 0.47957056462907977, 0.4133583428478225, 0.46842050786640904, 0.5940560101801724, 0.4579398103648214, 0.44029635117614374, 0.4595155358123761)",-0.16375071490150986,766
4,-0.024730850432224283,0.03612749810608381,"(0.5943170764701714, 0.40988183480466367, 0.5854833655402936, 0.5898630879932395, 0.43127074956023886, 0.3718342468342468, 0.47957056462907977, 0.4133583428478225, 0.46842050786640904, 0.5934515472802976, 0.4579398103648214, 0.44029635117614374, 0.4595155358123761)",-0.16375071490150986,727
4,-0.024765079667818435,0.03619595657727229,"(0.5943170764701714, 0.3796294660471471, 0.5854833655402936, 0.5898630879932395, 0.43127074956023886, 0.4025315956544885, 0.47957056462907977, 0.4133583428478225, 0.46842050786640904, 0.5934515472802976, 0.4579398103648214, 0.44029635117614374, 0.4595155358123761)",-0.16375071490150986,750
4,-0.02476597570277489,0.03717204604482733,"(0.5943170764701714, 0.3796294660471471, 0.5854833655402936, 0.5898630879932395, 0.43127074956023886, 0.4057097106512586, 0.47957056462907977, 0.4133583428478225, 0.46842050786640904, 0.5934515472802976, 0.45477334382248363, 0.44029635117614374, 0.4595155358123761)",-0.16375071490150986,755
4,-0.024774370217199915,0.03386757174223247,"(0.5943170764701714, 0.3796294660471471, 0.4510904570033403, 0.5898630879932395, 0.43127074956023886, 0.4057097106512586, 0.47957056462907977, 0.4133583428478225, 0.46842050786640904, 0.5934515472802976, 0.45477334382248363, 0.5747983884006235, 0.4595155358123761)",-0.16304796520590978,746
4,-0.02477875168134186,0.03387633467051636,"(0.5958437696944233, 0.3796294660471471, 0.4510904570033403, 0.5883933538028329, 0.43127074956023886, 0.4057097106512586, 0.47957056462907977, 0.4133583428478225, 0.46842050786640904, 0.5934515472802976, 0.45477334382248363, 0.5747983884006235, 0.4595155358123761)",-0.16304796520590978,743
4,-0.015921231009214554,0.029304547361630292,"(0.5958437696944233, 0.3796294660471471, 0.4510904570033403, 0.5883933538028329, 0.43127074956023886, 0.39115983587976605, 0.47957056462907977, 0.4133583428478225, 0.46842050786640904, 0.5934515472802976, 0.4699400865587506, 0.5747983884006235, 0.4595155358123761)",-0.16304796520590978,741
4,-0.01555465122634675,0.02848740782320191,"(0.5958437696944233, 0.3796294660471471, 0.40831987075928916, 0.5883933538028329, 0.43127074956023886, 0.39115983587976605, 0.47957056462907977, 0.4513633919145913, 0.46842050786640904, 0.5934515472802976, 0.4699400865587506, 0.5747983884006235, 0.4595155358123761)",-0.16304796520590978,744
4,-0.015627707847393146,0.027188130996754392,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.43127074956023886, 0.39115983587976605, 0.47957056462907977, 0.45606090963734724, 0.46842050786640904, 0.5934515472802976, 0.4699400865587506, 0.5747983884006235, 0.4595155358123761)",-0.16304796520590978,718
4,-0.015462864420568045,0.025089178510625396,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.43127074956023886, 0.38326675802548327, 0.47957056462907977, 0.45606090963734724, 0.46842050786640904, 0.5934515472802976, 0.4756901998643063, 0.5747983884006235, 0.4595155358123761)",-0.16304796520590978,712
4,-0.015726302243319223,0.0256160541561278,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.4460419099355232, 0.3719202893459646, 0.47957056462907977, 0.45606090963734724, 0.46842050786640904, 0.5934515472802976, 0.4756901998643063, 0.5747983884006235, 0.4595155358123761)",-0.16304796520590978,696
4,-0.008264810464444439,0.024068104244300573,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.4460419099355232, 0.3719202893459646, 0.47957056462907977, 0.4397643741457307, 0.4822236462053176, 0.5934515472802976, 0.4756901998643063, 0.5747983884006235, 0.4595155358123761)",-0.16304796520590978,680
4,-0.008092924606450058,0.022025625525656567,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.4460419099355232, 0.3719202893459646, 0.47957056462907977, 0.4397643741457307, 0.4822236462053176, 0.5934515472802976, 0.4756901998643063, 0.465036333571006, 0.5670430744880673)",-0.1617462096617201,687
4,-0.004281337812838959,0.021322460400155764,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.4460419099355232, 0.36126807588927484, 0.47957056462907977, 0.4397643741457307, 0.4822236462053176, 0.5934515472802976, 0.4872365269461078, 0.465036333571006, 0.5670430744880673)",-0.1617462096617201,721
4,-0.016897512892943112,0.02488422080902369,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.4460419099355232, 0.4669739472840769, 0.47957056462907977, 0.4397643741457307, 0.4822236462053176, 0.5934515472802976, 0.3817849061076214, 0.465036333571006, 0.5670430744880673)",-0.1617462096617201,727
4,-0.016759963212236106,0.023011220169945588,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.4460419099355232, 0.4669739472840769, 0.47957056462907977, 0.4327830491441314, 0.48741682535772596, 0.5934515472802976, 0.3817849061076214, 0.465036333571006, 0.5670430744880673)",-0.1617462096617201,713
4,-0.0168251281043158,0.02288939774991829,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.5934791962137268, 0.4669739472840769, 0.47957056462907977, 0.4327830491441314, 0.48741682535772596, 0.4468614045991299, 0.3817849061076214, 0.465036333571006, 0.5670430744880673)",-0.16218657690042887,721
4,-0.01867237385441145,0.02607026303880018,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.5934791962137268, 0.45604874333587203, 0.47957056462907977, 0.4327830491441314, 0.48741682535772596, 0.4468614045991299, 0.3915353265371489, 0.465036333571006, 0.5670430744880673)",-0.16218657690042887,697
4,-0.02296973479830894,0.027426996019919696,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5883933538028329, 0.5934791962137268, 0.45604874333587203, 0.47957056462907977, 0.4327830491441314, 0.48741682535772596, 0.4468614045991299, 0.3915353265371489, 0.46075934012615233, 0.5715848454204906)",-0.1622288966515404,682
4,-0.02291165200278189,0.02731083042886555,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5537516031461844, 0.5934791962137268, 0.45604874333587203, 0.47957056462907977, 0.4327830491441314, 0.48741682535772596, 0.4468614045991299, 0.3915353265371489, 0.46075934012615233, 0.6054715197352871)",-0.1622288966515404,685
4,-0.022967027304932275,0.027421581033166404,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5960724191014667, 0.5934791962137268, 0.45604874333587203, 0.47957056462907977, 0.4327830491441314, 0.48741682535772596, 0.4468614045991299, 0.3915353265371489, 0.46075934012615233, 0.5638705827079603)",-0.1622288966515404,684
4,-0.023326204545322415,0.03103502823084736,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5960724191014667, 0.5934791962137268, 0.45604874333587203, 0.47957056462907977, 0.4770315206096294, 0.44783765801729875, 0.4468614045991299, 0.3915353265371489, 0.46075934012615233, 0.5638705827079603)",-0.1622288966515404,698
4,-0.023037219492291372,0.027316595459755774,"(0.5958437696944233, 0.3758816843979941, 0.40831987075928916, 0.5960724191014667, 0.5934791962137268, 0.45604874333587203, 0.47957056462907977, 0.48821427768914455, 0.4328980952483809, 0.4468614045991299, 0.3915353265371489, 0.46075934012615233, 0.5638705827079603)",-0.1622288966515404,685
4,-0.025999233672307942,0.028382950942719674,"(0.5958437696944233, 0.3758816843979941, 0.4578888970624295, 0.5960724191014667, 0.5934791962137268, 0.45604874333587203, 0.47957056462907977, 0.48821427768914455, 0.4328980952483809, 0.4468614045991299, 0.3915353265371489, 0.41238073833483163, 0.5638705827079603)",-0.1622288966515404,688
4,-0.026007894633268525,0.02943164895533307,"(0.5958437696944233, 0.3758816843979941, 0.4578888970624295, 0.5960724191014667, 0.5969437610009645, 0.45604874333587203, 0.47621859233433017, 0.48821427768914455, 0.4328980952483809, 0.4468614045991299, 0.3915353265371489, 0.41238073833483163, 0.5638705827079603)",-0.16212926386606646,703
4,-0.026042752558523508,0.030621893713314415,"(0.5958437696944233, 0.3758816843979941, 0.4578888970624295, 0.5960724191014667, 0.5969437610009645, 0.45604874333587203, 0.47621859233433017, 0.43699296722597736, 0.4845725587398622, 0.4468614045991299, 0.3915353265371489, 0.41238073833483163, 0.5638705827079603)",-0.16212926386606646,706
4,-0.02604188024553994,0.030620149087347268,"(0.5946133353974367, 0.3758816843979941, 0.4578888970624295, 0.5960724191014667, 0.5981628552291647, 0.45604874333587203, 0.47621859233433017, 0.43699296722597736, 0.4845725587398622, 0.4468614045991299, 0.3915353265371489, 0.41238073833483163, 0.5638705827079603)",-0.16212926386606646,713
4,-0.02589010096619232,0.03300412567883289,"(0.5946133353974367, 0.3758816843979941, 0.4578888970624295, 0.5960724191014667, 0.5981628552291647, 0.45604874333587203, 0.47621859233433017, 0.43699296722597736, 0.4845725587398622, 0.3982966851437172, 0.4381269153610417, 0.41238073833483163, 0.5638705827079603)",-0.16212926386606646,731
4,-0.02612343615738838,0.04045935591989,"(0.5946133353974367, 0.3758816843979941, 0.4578888970624295, 0.5960724191014667, 0.5981628552291647, 0.45604874333587203, 0.47621859233433017, 0.43699296722597736, 0.46128650684975536, 0.3982966851437172, 0.4381269153610417, 0.43870014771048743, 0.5638705827079603)",-0.16212926386606646,737
4,-0.026112995419081853,0.040438474443277,"(0.5946133353974367, 0.3758816843979941, 0.4578888970624295, 0.5960724191014667, 0.5755964945947675, 0.45604874333587203, 0.47621859233433017, 0.43699296722597736, 0.46128650684975536, 0.3982966851437172, 0.4381269153610417, 0.43870014771048743, 0.5863012137443729)",-0.16212926386606646,748
4,-0.02609266279622069,0.04039780919755457,"(0.5946133353974367, 0.3758816843979941, 0.4578888970624295, 0.5960724191014667, 0.5705258939162307, 0.45604874333587203, 0.47621859233433017, 0.43699296722597736, 0.46128650684975536, 0.3982966851437172, 0.4381269153610417, 0.43870014771048743, 0.591107490325714)",-0.16212926386606646,748
