seats,mm,pg,vs,eg,ce
7,-0.012206972656032877,0.014761637713447389,"(0.47104556834248623, 0.5338491818149911, 0.5012288953691556, 0.6620919579692992, 0.37361786421754006, 0.4587267078864659, 0.5611069137958665, 0.47947293305063343, 0.4374056104011833, 0.6020704360776368, 0.49905102933525547, 0.585474707209019, 0.5095244788579181)",0.00777218998766741,736
7,-0.01221496508391795,0.014574903758193036,"(0.47104556834248623, 0.5338491818149911, 0.5012288953691556, 0.6620919579692992, 0.37361786421754006, 0.4587267078864659, 0.5611069137958665, 0.4801317691864634, 0.43685067582786, 0.6020704360776368, 0.49905102933525547, 0.585474707209019, 0.5095244788579181)",0.00777218998766741,738
7,-0.012219170734725449,0.014583315059807589,"(0.47104556834248623, 0.5338491818149911, 0.5012288953691556, 0.6591991224580817, 0.37361786421754006, 0.4587267078864659, 0.5611069137958665, 0.4801317691864634, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.585474707209019, 0.5095244788579181)",0.00777218998766741,737
7,-0.012216121397263024,0.015526757375570103,"(0.47104556834248623, 0.5338491818149911, 0.5012288953691556, 0.6591991224580817, 0.3766642310502634, 0.4587267078864659, 0.5611069137958665, 0.4770457609667303, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.585474707209019, 0.5095244788579181)",0.00777218998766741,732
7,-0.012149953515796619,0.015394421612637325,"(0.47104556834248623, 0.5338491818149911, 0.5012288953691556, 0.5946769691770477, 0.3766642310502634, 0.4587267078864659, 0.5611069137958665, 0.4770457609667303, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.6491366780309898, 0.5095244788579181)",0.00777218998766741,725
7,-0.012053711083094276,0.015201936747232418,"(0.4683733365700048, 0.5338491818149911, 0.5012288953691556, 0.5960980493243973, 0.3766642310502634, 0.4587267078864659, 0.5611069137958665, 0.4770457609667303, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.6491366780309898, 0.5095244788579181)",0.008352547150640082,726
7,-0.01204615304683454,0.014105918015587412,"(0.4683733365700048, 0.5338491818149911, 0.5012288953691556, 0.5960980493243973, 0.3766642310502634, 0.4587267078864659, 0.5130374125000762, 0.4770457609667303, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.6491366780309898, 0.5574957256823321)",0.008352547150640082,728
7,-0.012011466011669802,0.014129517142652622,"(0.501283834076707, 0.5338491818149911, 0.46858166960348, 0.5960980493243973, 0.3766642310502634, 0.4587267078864659, 0.5130374125000762, 0.4770457609667303, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.6491366780309898, 0.5574957256823321)",0.007794719380639952,731
7,-0.012035155951610532,0.014176897022533996,"(0.501283834076707, 0.5338491818149911, 0.46858166960348, 0.6515349893880967, 0.3766642310502634, 0.4587267078864659, 0.5130374125000762, 0.4770457609667303, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.5940077071865193, 0.5574957256823321)",0.007794719380639952,743
7,-0.012005046023580102,0.014485815744501123,"(0.501283834076707, 0.5338491818149911, 0.46858166960348, 0.4758460605881396, 0.3766642310502634, 0.4587267078864659, 0.5130374125000762, 0.6523432607022923, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.5940077071865193, 0.5574957256823321)",0.007968646294387973,733
7,-0.012017277494124068,0.012527499892680606,"(0.501283834076707, 0.5338491818149911, 0.46858166960348, 0.6460582387424111, 0.3766642310502634, 0.4587267078864659, 0.5130374125000762, 0.4822900916650917, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.5940077071865193, 0.5574957256823321)",0.007869742259238515,739
7,-0.012021177502200997,0.012535299908834464,"(0.501283834076707, 0.5338491818149911, 0.4586155809750254, 0.6460582387424111, 0.3766642310502634, 0.46874349661992065, 0.5130374125000762, 0.4822900916650917, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.5940077071865193, 0.5574957256823321)",0.007869742259238515,742
7,-0.0004869396683873095,0.023066943435763373,"(0.6046027032409761, 0.5338491818149911, 0.35814813947497837, 0.6460582387424111, 0.3766642310502634, 0.46874349661992065, 0.5130374125000762, 0.4822900916650917, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.5940077071865193, 0.5574957256823321)",0.005570167118531192,739
7,-0.0002411370655422962,0.022575338230073363,"(0.6046027032409761, 0.5338491818149911, 0.35814813947497837, 0.6460582387424111, 0.3766642310502634, 0.4605961800724111, 0.5130374125000762, 0.4822900916650917, 0.43685067582786, 0.6050179450493489, 0.49905102933525547, 0.5940077071865193, 0.5624476083928566)",0.007601417188935544,740
7,-0.0006184537990363559,0.01040407678001154,"(0.6046027032409761, 0.5338491818149911, 0.35814813947497837, 0.6460582387424111, 0.3766642310502634, 0.4605961800724111, 0.5130374125000762, 0.4822900916650917, 0.43685067582786, 0.5558229313382792, 0.49905102933525547, 0.6481078384330125, 0.5624476083928566)",0.007601417188935544,707
7,-0.0006149568527022975,0.014620935976377746,"(0.6193655003812457, 0.5338491818149911, 0.35814813947497837, 0.6312499812997986, 0.3766642310502634, 0.4605961800724111, 0.5130374125000762, 0.4822900916650917, 0.43685067582786, 0.5558229313382792, 0.49905102933525547, 0.6481078384330125, 0.5624476083928566)",0.007601417188935544,707
7,0.020082112172347677,0.01485033655610744,"(0.6193655003812457, 0.5338491818149911, 0.35814813947497837, 0.6312499812997986, 0.3766642310502634, 0.4605961800724111, 0.47235336225659397, 0.4822900916650917, 0.43685067582786, 0.5558229313382792, 0.5412261833469807, 0.6481078384330125, 0.5624476083928566)",0.007377475022788481,736
7,0.019526702615644154,0.007056067189132089,"(0.39022001163007336, 0.5338491818149911, 0.5945139524632964, 0.6312499812997986, 0.3766642310502634, 0.4605961800724111, 0.47235336225659397, 0.4822900916650917, 0.43685067582786, 0.5558229313382792, 0.5412261833469807, 0.6481078384330125, 0.5624476083928566)",0.004532012690356474,757
7,0.009240208592715682,0.0070082699742298835,"(0.39022001163007336, 0.5338491818149911, 0.5945139524632964, 0.6312499812997986, 0.3766642310502634, 0.4605961800724111, 0.5235387891846114, 0.4822900916650917, 0.43685067582786, 0.5558229313382792, 0.48973007452209893, 0.6481078384330125, 0.5624476083928566)",0.003153213840436926,748
7,0.00923886801672269,0.007010951126215936,"(0.39022001163007336, 0.5338491818149911, 0.5945139524632964, 0.6312499812997986, 0.3766642310502634, 0.4605961800724111, 0.5235387891846114, 0.4822900916650917, 0.43685067582786, 0.6459772239769753, 0.48973007452209893, 0.5579709732822257, 0.5624476083928566)",0.003153213840436926,753
7,0.004246150102605761,0.009238295929709586,"(0.39022001163007336, 0.6447766144071125, 0.5945139524632964, 0.5183980314840626, 0.3766642310502634, 0.4605961800724111, 0.5235387891846114, 0.4822900916650917, 0.43685067582786, 0.6459772239769753, 0.48973007452209893, 0.5579709732822257, 0.5624476083928566)",0.003153213840436926,761
7,0.004233062884308358,0.00926447036630429,"(0.39022001163007336, 0.6530490628956063, 0.5945139524632964, 0.5183980314840626, 0.3766642310502634, 0.4605961800724111, 0.5235387891846114, 0.4822900916650917, 0.43685067582786, 0.6378749093263472, 0.48973007452209893, 0.5579709732822257, 0.5624476083928566)",0.003153213840436926,733
7,0.00425097564894128,0.009228644837038464,"(0.39022001163007336, 0.6418649977920912, 0.5945139524632964, 0.5183980314840626, 0.3766642310502634, 0.4605961800724111, 0.5235387891846114, 0.4822900916650917, 0.43685067582786, 0.6488261084896344, 0.48973007452209893, 0.5579709732822257, 0.5624476083928566)",0.003153213840436926,731
7,0.005470649783258619,0.01098630300604797,"(0.39772741220802493, 0.6418649977920912, 0.5711507881392205, 0.5183980314840626, 0.3766642310502634, 0.4605961800724111, 0.5235387891846114, 0.4822900916650917, 0.43685067582786, 0.6488261084896344, 0.48973007452209893, 0.5579709732822257, 0.5624476083928566)",0.009544802626746986,731
7,0.005584109435007534,0.011892993349904533,"(0.39772741220802493, 0.6689860394814917, 0.5711507881392205, 0.5183980314840626, 0.3766642310502634, 0.4605961800724111, 0.5235387891846114, 0.4822900916650917, 0.43685067582786, 0.6202300913274958, 0.48973007452209893, 0.5579709732822257, 0.5624476083928566)",0.009544802626746986,740
7,-0.007071965433307348,0.010365115816826479,"(0.39772741220802493, 0.6689860394814917, 0.5711507881392205, 0.5183980314840626, 0.3766642310502634, 0.4605961800724111, 0.5054610475994433, 0.4822900916650917, 0.4512766002010724, 0.6202300913274958, 0.48973007452209893, 0.5579709732822257, 0.5624476083928566)",0.010516945933512156,736
7,-0.007013904679445182,0.010248994309102097,"(0.39772741220802493, 0.6689860394814917, 0.5711507881392205, 0.5183980314840626, 0.3766642310502634, 0.45356091369678225, 0.5054610475994433, 0.4822900916650917, 0.4512766002010724, 0.6202300913274958, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.010638379361634157,736
7,-0.008006861932314369,0.011101299167485649,"(0.42087372272349605, 0.6587481732533192, 0.5711507881392205, 0.5183980314840626, 0.3766642310502634, 0.45356091369678225, 0.5054610475994433, 0.4822900916650917, 0.4512766002010724, 0.6202300913274958, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.00677886905150805,734
7,-0.007988213727028182,0.011141894386353917,"(0.42087372272349605, 0.5701119868926695, 0.6595445478311507, 0.5183980314840626, 0.3766642310502634, 0.45356091369678225, 0.5054610475994433, 0.4822900916650917, 0.4512766002010724, 0.6202300913274958, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.00677886905150805,730
7,-0.008106168897308086,0.011377804726913538,"(0.6219431237671337, 0.5701119868926695, 0.6595445478311507, 0.5183980314840626, 0.3766642310502634, 0.45356091369678225, 0.5054610475994433, 0.4822900916650917, 0.4512766002010724, 0.4206941074974958, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.006236586562658973,727
7,-0.007482902940158187,0.011231753316986252,"(0.6219431237671337, 0.5701119868926695, 0.676014148402619, 0.5183980314840626, 0.3766642310502634, 0.45356091369678225, 0.5054610475994433, 0.4822900916650917, 0.4512766002010724, 0.3961220494830796, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.008788716198588488,728
7,-0.007194600055436373,0.010655147547542624,"(0.6219431237671337, 0.5701119868926695, 0.676014148402619, 0.5183980314840626, 0.3760829593204712, 0.45356091369678225, 0.5054610475994433, 0.47912342589350027, 0.4512766002010724, 0.3961220494830796, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.008788716198588488,737
7,-0.0075188532345572545,0.011225762276344035,"(0.6219431237671337, 0.5701119868926695, 0.676014148402619, 0.5183980314840626, 0.47187134646358114, 0.45356091369678225, 0.5054610475994433, 0.47912342589350027, 0.35970350438653487, 0.3961220494830796, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.008788716198588488,717
7,-0.0077094684007108505,0.008652254269854609,"(0.6219431237671337, 0.5701119868926695, 0.676014148402619, 0.5280009310851507, 0.47187134646358114, 0.45356091369678225, 0.5054610475994433, 0.4719985234524071, 0.35970350438653487, 0.3961220494830796, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.0049145617830302305,734
7,0.01441293653643727,0.009941302687138203,"(0.6219431237671337, 0.5701119868926695, 0.676014148402619, 0.5280009310851507, 0.4407834020787761, 0.45356091369678225, 0.5419762131155207, 0.4719985234524071, 0.35970350438653487, 0.3961220494830796, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.003850723846866815,751
7,0.013970287227226819,0.011252417282295167,"(0.6219431237671337, 0.5474021049728836, 0.676014148402619, 0.5280009310851507, 0.4407834020787761, 0.4820252366363032, 0.5419762131155207, 0.4719985234524071, 0.35970350438653487, 0.3961220494830796, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.0030777403739789115,749
7,0.01406712987484604,0.01105873198705674,"(0.6219431237671337, 0.5474021049728836, 0.6762071141163306, 0.5280009310851507, 0.4407834020787761, 0.48057331650354185, 0.5419762131155207, 0.4719985234524071, 0.35970350438653487, 0.3961220494830796, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.0034913800289547757,746
7,0.01405046110109609,0.009991589030184387,"(0.6719539751441993, 0.5474021049728836, 0.6264129567980152, 0.5280009310851507, 0.4407834020787761, 0.48057331650354185, 0.5419762131155207, 0.4719985234524071, 0.35970350438653487, 0.3961220494830796, 0.48973007452209893, 0.5579709732822257, 0.5687280849682769)",0.0034913800289547757,765
7,0.013993208232839893,0.010345049143602876,"(0.6719539751441993, 0.5474021049728836, 0.6264129567980152, 0.5280009310851507, 0.491250963534374, 0.48057331650354185, 0.5419762131155207, 0.4719985234524071, 0.35970350438653487, 0.3961220494830796, 0.4400068003538309, 0.5579709732822257, 0.5687280849682769)",0.0034913800289547757,759
7,0.014190842493264189,0.01785255859221622,"(0.6719539751441993, 0.5474021049728836, 0.6264129567980152, 0.5280009310851507, 0.491250963534374, 0.48057331650354185, 0.5419762131155207, 0.39114604924697904, 0.43798673320644604, 0.3961220494830796, 0.4400068003538309, 0.5579709732822257, 0.5687280849682769)",0.0034913800289547757,753
7,0.014152525687816442,0.019753925789749556,"(0.6719539751441993, 0.5474021049728836, 0.6264129567980152, 0.5280009310851507, 0.4976794661617678, 0.48057331650354185, 0.5419762131155207, 0.39114604924697904, 0.43798673320644604, 0.3961220494830796, 0.43407641619725795, 0.5579709732822257, 0.5687280849682769)",0.0034913800289547757,761
6,-0.014442995949137616,0.015003780979784139,"(0.6719539751441993, 0.5474021049728836, 0.6264129567980152, 0.46403083616379803, 0.4976794661617678, 0.48057331650354185, 0.5419762131155207, 0.39114604924697904, 0.4991927912248964, 0.3961220494830796, 0.43407641619725795, 0.5579709732822257, 0.5687280849682769)",-0.07393876420872492,749
6,-0.013979586255925491,0.013981773724054026,"(0.6719539751441993, 0.5741267721242038, 0.6264129567980152, 0.46403083616379803, 0.4976794661617678, 0.4478243233404637, 0.5419762131155207, 0.39114604924697904, 0.4991927912248964, 0.3961220494830796, 0.43407641619725795, 0.5579709732822257, 0.5687280849682769)",-0.0735956415537531,739
6,-0.01395408942232751,0.013930780056857977,"(0.6719539751441993, 0.5741267721242038, 0.6264003298782158, 0.46403083616379803, 0.4976794661617678, 0.4478243233404637, 0.5419762131155207, 0.39114604924697904, 0.4991927912248964, 0.3961220494830796, 0.43407641619725795, 0.5576521413652508, 0.5687280849682769)",-0.0735956415537531,739
6,-0.013979838380128673,0.013879282141255684,"(0.6719539751441993, 0.5701010480961581, 0.6264003298782158, 0.46403083616379803, 0.4976794661617678, 0.4521847838199242, 0.5419762131155207, 0.39114604924697904, 0.4991927912248964, 0.3961220494830796, 0.43407641619725795, 0.5576521413652508, 0.5687280849682769)",-0.0733092929690721,736
6,-0.01399754779564516,0.014115687962401898,"(0.6719539751441993, 0.5701010480961581, 0.6264003298782158, 0.46403083616379803, 0.5680748772504092, 0.4521847838199242, 0.5419762131155207, 0.39114604924697904, 0.4991927912248964, 0.3961220494830796, 0.43407641619725795, 0.5576521413652508, 0.4985628962813504)",-0.07363596916717395,741
6,-0.014100778754664811,0.014322149880441372,"(0.6354367998241259, 0.5701010480961581, 0.6642595076655458, 0.46403083616379803, 0.5680748772504092, 0.4521847838199242, 0.5419762131155207, 0.39114604924697904, 0.4991927912248964, 0.3961220494830796, 0.43407641619725795, 0.5576521413652508, 0.4985628962813504)",-0.07363596916717395,724
6,-0.013775302304425086,0.012366943678726901,"(0.6354367998241259, 0.38765203240094953, 0.6642595076655458, 0.46403083616379803, 0.5680748772504092, 0.4521847838199242, 0.5419762131155207, 0.39114604924697904, 0.4991927912248964, 0.5743398713251721, 0.43407641619725795, 0.5576521413652508, 0.4985628962813504)",-0.07201610581244822,745
