seats,mm,pg,vs,eg,ce
8,-0.02513204150024495,0.024204606241212182,"(0.5019945679850619, 0.49965779721563786, 0.611547205681574, 0.6330514562992451, 0.36372083935944877, 0.47954018624930256, 0.5648800756027897, 0.6751759870234177, 0.425382392525332, 0.5106685872178723, 0.6458227581681544, 0.5571442212814718, 0.49682209872621674)",0.02533822680394093,673
8,-0.02497815058269026,0.023896824406102787,"(0.5019945679850619, 0.4950077976674803, 0.611547205681574, 0.6357008739191915, 0.36372083935944877, 0.47954018624930256, 0.5648800756027897, 0.6751759870234177, 0.425382392525332, 0.5106685872178723, 0.6458227581681544, 0.5571442212814718, 0.49682209872621674)",0.026553615971153344,648
8,-0.025009678384803502,0.023959880010329285,"(0.5019945679850619, 0.4950077976674803, 0.611547205681574, 0.6587057010785824, 0.36372083935944877, 0.47954018624930256, 0.5648800756027897, 0.6751759870234177, 0.425382392525332, 0.5106685872178723, 0.6232277924362357, 0.5571442212814718, 0.49682209872621674)",0.026553615971153344,648
8,-0.02518916240725322,0.019403082674907576,"(0.5019945679850619, 0.4950077976674803, 0.611547205681574, 0.6587057010785824, 0.36372083935944877, 0.47954018624930256, 0.5648800756027897, 0.6095848472420387, 0.425382392525332, 0.5106685872178723, 0.6911522245094618, 0.5571442212814718, 0.49682209872621674)",0.026553615971153344,641
8,-0.025220016988621752,0.019636692786915565,"(0.5019945679850619, 0.4950077976674803, 0.611547205681574, 0.6587057010785824, 0.36372083935944877, 0.47954018624930256, 0.5648800756027897, 0.6095848472420387, 0.4297290290722795, 0.5106685872178723, 0.6911522245094618, 0.5571442212814718, 0.4928765717370605)",0.026553615971153344,638
8,-0.02662792568310668,0.020398997577046236,"(0.5019945679850619, 0.4950077976674803, 0.611547205681574, 0.6587057010785824, 0.36372083935944877, 0.47954018624930256, 0.5648800756027897, 0.509455147954922, 0.4297290290722795, 0.6133263891149376, 0.6911522245094618, 0.5571442212814718, 0.4928765717370605)",0.026553615971153344,632
8,-0.023647893137602738,0.020428782355284517,"(0.5019945679850619, 0.4950077976674803, 0.611547205681574, 0.6587057010785824, 0.36372083935944877, 0.47954018624930256, 0.5648800756027897, 0.6879934832945281, 0.4297290290722795, 0.6133263891149376, 0.5124202881113068, 0.5571442212814718, 0.4928765717370605)",0.026553615971153344,634
8,-0.007922412700120396,0.01595843915134382,"(0.5019945679850619, 0.4950077976674803, 0.611547205681574, 0.6587057010785824, 0.36372083935944877, 0.5283633803714572, 0.5648800756027897, 0.6879934832945281, 0.4297290290722795, 0.6133263891149376, 0.4664260476838386, 0.5571442212814718, 0.4928765717370605)",0.022007874321136225,650
8,-0.008204327032375613,0.024918029107937063,"(0.5019945679850619, 0.4950077976674803, 0.611547205681574, 0.6587057010785824, 0.33643461516017975, 0.5283633803714572, 0.5648800756027897, 0.6879934832945281, 0.4606801395908665, 0.6133263891149376, 0.4664260476838386, 0.5571442212814718, 0.4928765717370605)",0.022007874321136225,662
8,-0.008206960995520207,0.024923297034226116,"(0.5019945679850619, 0.4950077976674803, 0.611248394989946, 0.6587057010785824, 0.33643461516017975, 0.5283633803714572, 0.5648800756027897, 0.6879934832945281, 0.4606801395908665, 0.6133263891149376, 0.4664260476838386, 0.5571442212814718, 0.49320962394956736)",0.021982387495055003,662
