seats,mm,pg,vs,eg,ce
4,0.015313059206664481,0.030626118413329184,"(0.8218277143100894, 0.6895085533471769, 0.7480395714084727, 0.5544681736189018)",0.10175074670222037,254
4,0.01707525216041461,0.034150504320829445,"(0.8173008321156187, 0.6920304429677067, 0.7480395714084727, 0.5544681736189018)",0.10175074670222037,337
4,0.01530349049550217,0.03060698099100445,"(0.8222144235830847, 0.6898569877755227, 0.7480395714084727, 0.5544681736189018)",0.10175074670222037,284
4,0.04004825100513787,0.08009650201027563,"(0.8222144235830847, 0.5064316374151405, 0.7480395714084727, 0.7407994936103038)",0.10175074670222037,288
3,0.04614928501501947,0.09229857003003922,"(0.8222144235830847, 0.47789475351917426, 0.7480395714084727, 0.7366667457538648)",-0.13331520889041168,277
4,0.014303291883899338,0.02860658376779851,"(0.8222144235830847, 0.5572196762821269, 0.7480395714084727, 0.688607695992336)",0.10175074670222037,258
4,0.014268369782949875,0.028536739565899583,"(0.8222144235830847, 0.5572196762821269, 0.6860147892885348, 0.750492789708476)",0.10175074670222037,246
4,0.010987411654473922,0.0219748233089479,"(0.7444794605077574, 0.5572196762821269, 0.6860147892885348, 0.8293249268962695)",0.10175074670222037,254
3,0.03705144051296516,0.07410288102593027,"(0.7444794605077574, 0.4981165308644716, 0.7311677593048442, 0.8293249268962695)",-0.14986183215772733,247
4,0.024286711571364306,0.0485734231427285,"(0.7444794605077574, 0.5348269793946837, 0.7168192920686528, 0.8293249268962695)",0.10175074670222037,287
4,0.024198687487029913,0.04839737497405994,"(0.7444794605077574, 0.697897409515591, 0.516257193178959, 0.8293249268962695)",0.10175074670222037,252
4,0.010829032497418734,0.021658064994837356,"(0.5447697630014169, 0.697897409515591, 0.7195134103717701, 0.8293249268962695)",0.10175074670222037,284
4,0.01086070427140029,0.021721408542800524,"(0.5447697630014169, 0.6979650622560862, 0.7195134103717701, 0.8292658925408384)",0.10175074670222037,281
4,-0.011929382739420902,0.023858765478841693,"(0.5977604930188867, 0.6979650622560862, 0.6813437923459554, 0.8292658925408384)",0.10175074670222037,304
4,-0.011259796628397822,0.02251959325679559,"(0.5977604930188867, 0.6946775028555933, 0.6873096961905406, 0.8292658925408384)",0.10175074670222037,340
4,-0.011227801749428612,0.022455603498857335,"(0.8290036392249435, 0.6946775028555933, 0.6873096961905406, 0.5978947668189051)",0.10175074670222037,341
