seats,mm,pg,vs,eg,ce
3,0.00604036377382966,0.01280542718364236,"(0.6719014169551566, 0.6004834723089877, 0.7855774015606306, 0.4626460326081953)",-0.010577852266094442,354
3,0.005312914569651994,0.011350528775287083,"(0.6881282312467567, 0.581346861200677, 0.7855774015606306, 0.4626460326081953)",-0.010577852266094442,348
3,0.005372292906884457,0.01123177210082188,"(0.6881282312467567, 0.581346861200677, 0.463458545524869, 0.7845273752950266)",-0.010495506077875274,380
3,0.004882798453191617,0.010252783193435977,"(0.6800013188635164, 0.5875157957691455, 0.463458545524869, 0.7845273752950266)",-0.010495506077875274,393
3,0.03920214069219574,0.0784042813843916,"(0.6800013188635164, 0.39778310529338307, 0.6591177244936764, 0.7845273752950266)",-0.013193554715409152,380
3,0.044028017232569217,0.08805603446513838,"(0.6888984550176448, 0.39778310529338307, 0.6591177244936764, 0.7741210052876614)",-0.013193554715409152,382
3,0.046715599946058894,0.09343119989211779,"(0.6888984550176448, 0.4021197220372552, 0.6742046720915074, 0.7741210052876614)",-0.031200728521571068,366
3,0.05795155730628876,0.11590311461257752,"(0.6888984550176448, 0.4021197220372552, 0.7502520199208582, 0.6952795161656237)",-0.031200728521571068,359
3,0.0559545502500417,0.11190910050008346,"(0.6888984550176448, 0.4021197220372552, 0.7557907443389683, 0.6928302123587456)",-0.031200728521571068,369
3,0.05779958530913287,0.11559917061826575,"(0.6922675199756921, 0.4021197220372552, 0.7517796690606511, 0.6928302123587456)",-0.031200728521571068,325
3,0.039156600964089794,0.07831320192817975,"(0.6922675199756921, 0.4021197220372552, 0.6513277504601116, 0.784849144542189)",-0.031200728521571068,297
3,0.03955623798516461,0.07911247597032905,"(0.6917968366244228, 0.4021197220372552, 0.6533969818956795, 0.784849144542189)",-0.031200728521571068,287
3,0.04169183240665353,0.08338366481330706,"(0.6989052007965815, 0.4006857085234578, 0.6533969818956795, 0.784849144542189)",-0.03571281524663894,294
3,0.03522814493563209,0.07045628987126418,"(0.7975241665022686, 0.4006857085234578, 0.6533969818956795, 0.6857254728725753)",-0.03571281524663894,271
3,0.01877017905891909,0.03754035811783829,"(0.7975241665022686, 0.6118801784576163, 0.42500076859224645, 0.6857254728725753)",-0.023224047024517365,343
3,0.017736321688531786,0.035472643377063406,"(0.7975241665022686, 0.4252242267695704, 0.6079682071533905, 0.6857254728725753)",-0.01847703146835363,291
3,-0.004967761369816692,0.00993552273963344,"(0.7975241665022686, 0.5568485684204642, 0.4649209202700377, 0.6857254728725753)",-0.0007810778147259204,287
3,0.018910959543753214,0.03782191908750665,"(0.7975241665022686, 0.6083273937961942, 0.4208848619914875, 0.6857254728725753)",-0.01266799227883388,249
3,-0.007614048597233025,0.015228097194465828,"(0.7975241665022686, 0.5559774767031811, 0.4746349774624194, 0.6857254728725753)",-0.028244742559174214,319
3,-0.008306919135273705,0.01661383827054741,"(0.7978532919777306, 0.5535351200264799, 0.4746349774624194, 0.6857254728725753)",-0.028244742559174214,313
3,0.031086646566851117,0.0621732931337024,"(0.7978532919777306, 0.6359639581299106, 0.3994895527573505, 0.6857254728725753)",-0.019373151751915153,226
3,0.03114459190924146,0.06228918381848286,"(0.7978532919777306, 0.6585525624934369, 0.3994895527573505, 0.66336864987861)",-0.019373151751915153,226
3,0.03117772618180581,0.06235545236361151,"(0.7978532919777306, 0.6703792421260343, 0.3994895527573505, 0.6516745073362699)",-0.019373151751915153,240
3,0.030631476020133608,0.06126295204026716,"(0.7978532919777306, 0.6703792421260343, 0.4050988208653875, 0.6550987747976181)",-0.028794524462872766,250
4,-0.025890715118695673,0.05178143023739151,"(0.7978532919777306, 0.545744642274359, 0.5065529855690296, 0.6550987747976181)",0.2525012654671572,386
4,-0.02874456028555672,0.05748912057111333,"(0.7999259332180142, 0.545744642274359, 0.5065529855690296, 0.6457560353704581)",0.2525012654671572,477
4,-0.026140106602440705,0.05228021320488152,"(0.7973905776764452, 0.545744642274359, 0.5065529855690296, 0.6536384945613527)",0.2525012654671572,420
4,-0.03608640211259073,0.07217280422518152,"(0.6290905086985246, 0.545744642274359, 0.5065529855690296, 0.812627773854217)",0.2525012654671572,485
3,0.005439313516842348,0.010878627033684696,"(0.6290905086985246, 0.6295654286608698, 0.424270909437808, 0.812627773854217)",-0.0077260100123277085,394
3,0.011578013435734724,0.023156026871469393,"(0.6447635756680514, 0.6295654286608698, 0.424270909437808, 0.8037460411481745)",-0.0077260100123277085,355
3,0.03822253421317012,0.07644506842634036,"(0.6447635756680514, 0.3814585951682726, 0.6933311975010763, 0.8037460411481745)",-0.02499570104458562,306
3,0.0421296279350577,0.0842592558701154,"(0.7974768851847004, 0.3814585951682726, 0.6933311975010763, 0.6541227945921274)",-0.02499570104458562,282
3,0.03587861028180317,0.07175722056360617,"(0.7974768851847004, 0.6393465613962186, 0.6933311975010763, 0.39168643258538216)",-0.022683952907668125,316
3,0.03816194504180703,0.07632389008361401,"(0.7930774836045664, 0.6393465613962186, 0.698065134960958, 0.39168643258538216)",-0.022683952907668125,321
3,0.03949447805473427,0.07898895610946866,"(0.7930774836045664, 0.6254270586153546, 0.698065134960958, 0.37243679775280897)",0.011081617182258755,244
3,0.041545989885974244,0.08309197977194865,"(0.7022815831882294, 0.6254270586153546, 0.7890878845068778, 0.37243679775280897)",0.011081617182258755,245
3,0.04444830468263328,0.08889660936526639,"(0.7022815831882294, 0.6364323471474933, 0.7890878845068778, 0.3718328270983121)",0.0005316173033560915,288
3,0.040568971642797935,0.08113794328559581,"(0.6937456211397708, 0.6364323471474933, 0.7890878845068778, 0.3788141972091946)",0.0015246154554107501,310
3,0.040429201194471576,0.08085840238894315,"(0.6937456211397708, 0.6364323471474933, 0.3795919744044407, 0.7888691891049371)",0.0011806990222601123,291
3,0.04419703663321628,0.08839407326643273,"(0.3755555240699547, 0.6364323471474933, 0.7047805125602639, 0.7888691891049371)",-0.0039066000469857665,291
3,0.04321963312950272,0.08643926625900578,"(0.3755555240699547, 0.7917564084239787, 0.7047805125602639, 0.635409952451681)",-0.0039066000469857665,291
3,0.025765427214049952,0.05153085442809974,"(0.424404845346373, 0.7917564084239787, 0.7047805125602639, 0.6144424500662873)",-0.041210634283624495,262
3,0.043480179473656455,0.08696035894731291,"(0.38639413243704485, 0.7917564084239787, 0.7047805125602639, 0.6472907461953854)",-0.026365311910407346,290
3,0.04523201460839976,0.09046402921679941,"(0.38639413243704485, 0.7890069765925539, 0.7090384212678121, 0.6472907461953854)",-0.026365311910407346,291
3,0.04369907082972968,0.0873981416594593,"(0.38639413243704485, 0.7914739991592691, 0.7053736687198471, 0.6472907461953854)",-0.026365311910407346,288
3,0.025001635554709356,0.050003271109418934,"(0.6032587357675697, 0.7914739991592691, 0.7053736687198471, 0.4171518631093099)",-0.016425642603011447,329
3,0.023927284629206014,0.04785456925841197,"(0.6032587357675697, 0.7914739991592691, 0.4204021653683985, 0.7043265672769218)",-0.018621137297737175,316
3,0.005251123483983822,0.013822082225321664,"(0.5674964964492103, 0.7914739991592691, 0.4593445706309277, 0.7043265672769218)",-0.034653213559995254,269
3,0.004389261690511348,0.012973388371642358,"(0.5649240790085861, 0.7923490288925347, 0.4593445706309277, 0.7043265672769218)",-0.034653213559995254,260
3,0.013737270887853037,0.02747454177570613,"(0.5899969388796299, 0.7923490288925347, 0.4470253937126048, 0.7043265672769218)",-0.050078592170815055,294
3,0.014924152587664441,0.029848305175328937,"(0.5899969388796299, 0.7923490288925347, 0.4452092280035953, 0.707257928367158)",-0.050635639914650594,290
3,0.0412021424047323,0.08240428480946455,"(0.3729788302192531, 0.7923490288925347, 0.622878500363559, 0.707257928367158)",0.008874012753971388,249
3,0.0012105357027187846,0.01251088294559799,"(0.4652395171804685, 0.7923490288925347, 0.5551727605167204, 0.707257928367158)",-0.03543186942800885,290
3,0.029480013974073294,0.05896002794814681,"(0.3960756733235849, 0.7923490288925347, 0.5990868297452552, 0.707257928367158)",0.013165702328217375,261
3,0.046623870415891444,0.09324774083178294,"(0.6400024219052011, 0.7923490288925347, 0.3684158397162585, 0.707257928367158)",-0.004254149400204897,262
3,-0.008635877976445161,0.01727175595289021,"(0.4791554495808015, 0.7923490288925347, 0.5297030382003978, 0.707257928367158)",0.0005994318113012877,351
3,-0.0006404657187363272,0.0012809314374726544,"(0.5397936475824399, 0.7923490288925347, 0.4572644099320084, 0.707257928367158)",0.035033459193830815,284
3,0.006105743313615575,0.015118668591206197,"(0.458056887604283, 0.7923490288925347, 0.5675709613841223, 0.707257928367158)",-0.04245309294704898,273
3,0.003944201802066227,0.015367624408124947,"(0.458056887604283, 0.7031838011609778, 0.5675709613841223, 0.7969210677325523)",-0.04245309294704898,281
3,0.044467500000808236,0.08893500000161647,"(0.6453642528562911, 0.7031838011609778, 0.3737569862814836, 0.7969210677325523)",-0.014436013378833639,280
3,0.04680809356794602,0.09361618713589204,"(0.6453642528562911, 0.7076076665216613, 0.3737569862814836, 0.7919825588246847)",-0.014436013378833639,282
3,0.023253766003001552,0.04650753200600316,"(0.405292359764784, 0.7076076665216613, 0.5826823160798137, 0.7919825588246847)",0.02638589845746214,302
3,0.008644232322946754,0.017288464645893342,"(0.5700638094499987, 0.7076076665216613, 0.4511119878551886, 0.7919825588246847)",-0.029880767563352072,278
3,-0.004158516174995186,0.012344233437471874,"(0.47617744149562036, 0.7076076665216613, 0.5439182690986629, 0.7919825588246847)",-0.04390626097444604,277
3,-0.004702893681444276,0.011255478424573695,"(0.47617744149562036, 0.5429275197556871, 0.7064209058388408, 0.7919825588246847)",-0.04390626097444604,288
3,-0.003731117708311915,0.011827192680351095,"(0.5454427859577292, 0.47480560380513304, 0.7064209058388408, 0.7919825588246847)",-0.0458874133851307,327
3,-0.0027940694065915483,0.005588138813183208,"(0.462589393417198, 0.5369747687766756, 0.7064209058388408, 0.7919825588246847)",0.027628357120886626,284
3,-0.002698702413110876,0.005397404826221808,"(0.462589393417198, 0.7099548972322843, 0.5338222453571548, 0.7919825588246847)",0.027628357120886626,295
3,7.729237586340254e-05,0.0023767079971379057,"(0.45773829895356916, 0.7099548972322843, 0.5400751300494231, 0.7919825588246847)",0.01896989762431247,332
