seats,mm,pg,vs,eg,ce
4,0.01721057246792368,0.034421144935847414,"(0.8313575126326134, 0.7115560837604991, 0.7601160261058738, 0.5714723073620647)",0.06894838045332798,254
4,0.01843675400840261,0.03687350801680522,"(0.8279433692410687, 0.71304666653087, 0.7601160261058738, 0.5714723073620647)",0.06894838045332798,337
4,0.01713115209934435,0.03426230419868881,"(0.8318111656732724, 0.7116920553268409, 0.7601160261058738, 0.5714723073620647)",0.06894838045332798,284
4,0.04064532296113832,0.0812906459222768,"(0.8318111656732724, 0.5252008765522279, 0.7601160261058738, 0.7594773079641801)",0.06894838045332798,288
3,0.04671338349554688,0.09342676699109381,"(0.8318111656732724, 0.4966017886185523, 0.7601160261058738, 0.7551504621681385)",-0.16102150005794022,277
4,0.016083012480156977,0.032166024960313844,"(0.8318111656732724, 0.5743840550764004, 0.7601160261058738, 0.7104112445644267)",0.06894838045332798,258
4,0.016050007935277666,0.03210001587055522,"(0.8318111656732724, 0.5743840550764004, 0.7079495645014167, 0.7624456879893666)",0.06894838045332798,246
4,0.012728298039156094,0.0254565960783123,"(0.7562443619585631, 0.5743840550764004, 0.7079495645014167, 0.8388966792269548)",0.06894838045332798,254
4,0.03776959643154121,0.07553919286308242,"(0.7562443619585631, 0.5167690722436362, 0.7504997752381927, 0.8388966792269548)",0.06894838045332798,247
4,0.02444064574916971,0.048881291498339474,"(0.7562443619585631, 0.5548398719247319, 0.7352547721898025, 0.8388966792269548)",0.06894838045332798,287
4,0.02430265742488813,0.04860531484977615,"(0.7562443619585631, 0.7165087591437903, 0.5366458121758464, 0.8388966792269548)",0.06894838045332798,252
4,0.01079016376099673,0.021580327521993514,"(0.565979949687724, 0.7165087591437903, 0.7315285248148755, 0.8388966792269548)",0.06894838045332798,284
4,0.010857765262090813,0.021715530524181625,"(0.565979949687724, 0.7166624508861571, 0.7315285248148755, 0.8387799649649453)",0.06894838045332798,281
4,-0.008247206195020396,0.016494412390040847,"(0.6120689027542172, 0.7166624508861571, 0.7011975920529238, 0.8387799649649453)",0.06894838045332798,304
4,-0.0075816381818364365,0.015163276363672706,"(0.6120689027542172, 0.7149344369129105, 0.7055878780789067, 0.8387799649649453)",0.06894838045332798,340
4,-0.007562551931147077,0.015125103862294431,"(0.8386222243116607, 0.7149344369129105, 0.7055878780789067, 0.6121502984047453)",0.06894838045332798,341
4,-0.03158484057537103,0.06316968115074234,"(0.8386222243116607, 0.6638860180126974, 0.7055878780789067, 0.6571910340814281)",0.06894838045332798,355
4,-0.025843772501882745,0.0516875450037656,"(0.8386222243116607, 0.6638860180126974, 0.7155108263907952, 0.6441497100993632)",0.06894838045332798,367
4,-0.02266893470978948,0.04533786941957896,"(0.7212224614874938, 0.6638860180126974, 0.831634508239986, 0.6441497100993632)",0.06894838045332798,349
4,0.029157804164396506,0.0583156083287929,"(0.7212224614874938, 0.7608992057167245, 0.831634508239986, 0.5338559423066466)",0.06894838045332798,299
4,-0.02686765923428558,0.05373531846857105,"(0.7212224614874938, 0.654526308813296, 0.831634508239986, 0.6515848989979459)",0.06894838045332798,345
4,-0.02704719434917957,0.054094388698359086,"(0.7212224614874938, 0.8315322847199269, 0.6537059448336608, 0.6515848989979459)",0.06894838045332798,348
4,0.0314275096797626,0.06285501935952498,"(0.7212224614874938, 0.8315322847199269, 0.526015187523368, 0.762035049474851)",0.06894838045332798,298
4,0.02223418516498432,0.0444683703299687,"(0.7212224614874938, 0.8315322847199269, 0.5455262205525014, 0.7447727844448719)",0.06894838045332798,284
4,0.01925056051485008,0.03850112102970027,"(0.8382360984147075, 0.7159917765817375, 0.5455262205525014, 0.7447727844448719)",0.06894838045332798,273
4,-0.01921904489219184,0.03843808978438357,"(0.8382360984147075, 0.6327413449940972, 0.6493284793951656, 0.7447727844448719)",0.06894838045332798,269
4,-0.018581725132355786,0.03716345026471163,"(0.6500905488395715, 0.6327413449940972, 0.8364488888197695, 0.7447727844448719)",0.06894838045332798,276
